RowNum,DateTimeEST,Sector,Ticker,CompanyName,UnitsofHolding,Currency,Price
1,10/9/2018 10:00 AM,/global/nam/fin,BAC,Bank of America Corp,2076,USD,32.41
2,10/9/2018 10:00 AM,/global/nam/fin,C,Citigroup N.A.,1929,USD,76.69
3,10/9/2018 10:00 AM,/global/nam/fin,JPM,J.P. Morgan Chase Co,1948,USD,143.24
4,10/9/2018 10:00 AM,/global/nam/fin,GS,Goldman Sachs Inc.,2391,USD,227.28
5,10/9/2018 10:00 AM,/global/nam/fin,MS,Morgan Stanley Inc.,2415,USD,46.25
6,10/9/2018 10:00 AM,/global/nam/fin,PNC,PNC Financial,1652,USD,132.88
7,10/9/2018 10:00 AM,/global/nam/fin,WFC,Wells Fargo Bank N.A.,1824,USD,58.94
8,10/9/2018 10:00 AM,/global/nam/fin,FITB,Fifth Third Bank,1565,USD,29.77
9,10/9/2018 10:00 AM,/global/nam/fin,TD,Toronto Dominion Bank,2359,USD,60.53
10,10/9/2018 10:00 AM,/global/nam/tech,AMZN,Amazon,1588,USD,1905.12
11,10/9/2018 10:00 AM,/global/nam/tech,FB ,Facebook,1720,USD,159
12,10/9/2018 10:00 AM,/global/nam/tech,GOOGL,Alphabet Inc,2250,USD,1220.45
13,10/9/2018 10:00 AM,/global/nam/tech,AAPL,Apple Inc.,2005,USD,242.93
14,10/9/2018 10:00 AM,/global/nam/tech,NFLX,Netfix,1828,USD,361.01
15,10/9/2018 10:00 AM,/global/nam/tech,TWTR,Twitter,1873,USD,31.11
16,10/9/2018 10:00 AM,/global/nam/tech,MSFT,Microsoft,1793,USD,130.4
17,10/9/2018 10:00 AM,/global/nam/tech,CSCO,Cisco,2332,USD,53.08
18,10/9/2018 10:00 AM,/global/nam/re,AMT,American Tower,1818,USD,144
19,10/9/2018 10:00 AM,/global/nam/re,SPG,Simon Property Group,1792,USD,165.79
20,10/9/2018 10:00 AM,/global/nam/re,CCI,Crown Castle International,2209,USD,145.44
21,10/9/2018 10:00 AM,/global/nam/re,PSA,Public Storage,1623,USD,228.92
22,10/9/2018 10:00 AM,/global/nam/re,EQIX,Equinix,2272,USD,420.55
23,10/9/2018 10:00 AM,/global/nam/re,WY,Weyerhaeuser,1648,USD,34.38
24,10/9/2018 10:00 AM,/global/emea/cons,ADDYY,Adidas AG,2257,EUR,120.44
25,10/9/2018 10:00 AM,/global/emea/cons,UN,Unilever NV,1758,EUR,61.38
26,10/9/2018 10:00 AM,/global/emea/cons,NSRGY,Nestle SA,2152,EUR,91.71
27,10/9/2018 10:00 AM,/global/emea/cons,DANOY,Danone SA,2109,EUR,23.06
28,10/9/2018 10:00 AM,/global/emea/cons,HENKY,Henkel AG,1918,EUR,106.57
29,10/9/2018 10:00 AM,/global/emea/cons,HINKY,Heineken NV,2471,EUR,46.76
30,10/9/2018 10:00 AM,/global/emea/fin,SAN,Spanish bank Santander,2233,EUR,5.68
31,10/9/2018 10:00 AM,/global/emea/fin,ABNRY,ABN Amro,1718,EUR,16.61
32,10/9/2018 10:00 AM,/global/emea/fin,EBKDY,Austrian Erste Bank,2304,EUR,23.36
33,10/9/2018 10:00 AM,/global/emea/fin,LYG,Lloyds,2233,EUR,8.01
34,10/9/2018 10:00 AM,/global/emea/fin,CRARY,Credit Agricole,1554,EUR,7.12
35,10/9/2018 10:00 AM,/global/emea/tech,ASML,ASML Holding,2443,EUR,193.69
36,10/9/2018 10:00 AM,/global/emea/tech,DTE,Deutsche Telekom,2005,EUR,17.18
37,10/9/2018 10:00 AM,/global/emea/tech,NOKIA,Nokia,1651,EUR,6.19
38,10/9/2018 10:00 AM,/global/emea/tech,SAP,SAP SE,1798,EUR,120.8
39,10/9/2018 10:00 AM,/global/emea/tech,TEF,Telefónica SA,1507,EUR,9.63
40,10/9/2018 10:00 AM,/global/apac/cons,KRX.005930,Samsung Electronics Co. Ltd.,1801,KRW,45325.49
41,10/9/2018 10:00 AM,/global/apac/cons,2319.Hong Kong,China Mengniu Dairy Co. Ltd.,1756,HKD,25.66
42,10/9/2018 10:00 AM,/global/apac/cons,601933.China,Yonghui Superstores Co. Ltd.,1747,CNY,9.13
43,10/9/2018 10:00 AM,/global/apac/cons,600519.China,Kweichow Moutai Co. Ltd.,2432,CNY,703.64
44,10/9/2018 10:00 AM,/global/apac/tech,Hong Kong.0700,Tencent,2017,HKD,324.43
45,10/9/2018 10:00 AM,/global/apac/tech,Hong Kong.2018,AAC Technologies Holdings Inc.,2328,HKD,79.87
46,10/9/2018 10:00 AM,/global/apac/tech,Hong Kong.2382,Sunny Optical Technology Group Co. Ltd.,1816,HKD,79.25
47,10/9/2018 10:00 AM,/global/apac/tech,Taiwan.2330,Taiwan Taiex,2089,NTD,248.97
48,10/9/2018 10:00 AM,/global/apac/tech,Taiwan.3008,LARGAN Precision Co. Ltd.,2311,NTD,3597.16
49,10/9/2018 10:00 AM,/global/apac/mat,0914.Hong Kong,Anhui Conch Cement,1758,HKD,50.34
50,10/9/2018 10:00 AM,/global/apac/mat,0857.Hong Kong,PetroChina Co. Ltd.,1514,HKD,10.95
51,10/9/2018 10:00 AM,/global/apac/mat,H0338.Hong Kong,SINOPEC Shanghai Petrochemical Co. Ltd.,2182,HKD,6.38
52,10/9/2018 10:00 AM,/global/apac/mat,Tokyo.5541,Pacific Metals Co. Ltd.,1722,JPY,4164.89
